adjustment_ratio,adjustment_ratio_calc,adjustment_ratio_check,bond_code,bond_name,calc_method,complete,conversion_value,cycle_check,cycle_status,event_type,implementation_date,missing_nodes,new_conv_price,nodes,notes,original_conv_price,premium_rate,premium_rate_calc,premium_rate_check,proposal_date,redemption_price,resolution_date,stock_code,stock_name,total_days,trigger_date
15.01,,,123072,乐歌转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,32.91,,,,,,,300729,乐歌股份,0,
25.5,,,118020,芳源转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",14.0,,,18.63,,,,,,,688148,芳源股份,0,
,,,128124,科华转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,20.64,,,,,,,002022,上海科华生物工程股份有限公司,0,
,,,149529,21申证Y1,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,4.1,,,,104.10元/张,,,,0,
,,,118004,博瑞转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,2.5,,,,100.9452,,688166,博瑞医药,0,
,,,148437.SZ,23新化K1,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,148437,新疆中泰化学股份有限公司,0,
,,,148418.SZ,23长开03,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,7.1,,,,107.1,,,,0,
0.71,,,123065,宝莱转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",23.8,trigger,,23.8,,,,,,,300246,宝莱特,0,2025-12-22
,,,127024,盈峰转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,1.13,,,,101.13,,000967,盈峰环境科技集团股份有限公司,0,
,,,113644,艾迪转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,603638,艾迪精密,0,
,,,149297,20万科 08,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,4.11,,,,104.11,,000002,万科 A,0,
1.11,,,128134,鸿路转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",21.99,,,32.08,,,,,,,002541,鸿路钢构,0,
,,,113059,福莱转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,41.71,,,,,,,601865,福莱特,0,
,,,149797.SZ,22新资01,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,5.4,,,,105.4,,,新疆金投资产管理股份有限公司,0,
0.225,,,123220,易瑞转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",8.85,,,8.87,,,,,,,300942,易瑞生物,0,
,,,123151,康医转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,27.55,,,,,,,300869,康泰医学系统（秦皇岛）股份有限公司,0,
,,,148437,23新化K1,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,600795,新疆中泰化学股份有限公司,0,
,,,127090,兴瑞转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,100.717元/张（含息税）,,002937,兴瑞科技,0,
,,,113686,泰瑞转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,603289,泰瑞机器,0,
,,,118015,芯海转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,55.22,,,,,,,688595,芯海科技,0,
,,,127080,声迅转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,28.94,,,,,,,003004,ST声迅,0,
,,,127080,声迅转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,003004,ST声迅,0,
5.0,,,128108,蓝帆转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",7.95,,,8.50,,,,,,,002382,蓝帆医疗,0,
25.08,,,110081,闻泰转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",32.66,,,43.6,,,,,,,600745,*ST闻泰,0,
,,,111010,立昂转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,605358,立昂微,0,
,,,127066,科利转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,1.41,,,,101.405,,002850,科达利,0,
,,,123198,金埔转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,301098,金埔园林,0,
,,,118018,瑞科转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",21.0,,,30.91,,,,,,,688323,深圳瑞华泰薄膜科技股份有限公司,0,
,,,118018,瑞科转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,688323,深圳瑞华泰薄膜科技股份有限公司,0,
17.55,,,123157,科蓝转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",13.2,,,16.01,,,,,,,300663,科蓝软件,0,
,,,127049,希望转2,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,10.59,,,,,,,000876,新希望,0,
31.95,,,123144,裕兴转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",8.5,,,12.49,,,,,,,300305,裕兴股份,0,
,,,127111,金威转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,19.59,,,,,,,002626,金达威,0,
0.975,,,127093,章鼓转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,resolution,implementation",8.4,proposal,,10.15,,,,2026-04-28,,,002598,ST章鼓,0,
,,,128097,奥佳转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,9.35,,,,,,,002614,奥佳华,0,
,,,123243,严牌转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,301081,严牌股份,0,
,,,123192,科思转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,17.39,,,,,,,300856,科思股份,0,
,,,118033,华特转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,3.33,,,,100.3329,,688268,华特气体,0,
,,,113679,芯能转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,12.75,,,,,,,603105,浙江芯能光伏科技股份有限公司,0,
,,,123061,航新转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,300424,航新科技,0,
13.81,,,127069,小熊转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",45.0,trigger,,52.21,,,,,,,002959,小熊电器,0,2025-12-06
,,,111001,山玻转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,11.18,,,,,,,605006,山东玻纤,0,
15.0,,,118061,茂莱转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,364.43,,,,,,,688502,南京茂莱光学科技股份有限公司,0,
2.16,,,127059,永东转2,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",8.16,,,8.16,,,,,,,002753,永东股份,0,
,,,123138,丝路转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,26.53,,,,,,,300556,丝路视觉,0,
,,,127098,欧晶转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",42.0,,,42.0,,,,,,,001269,欧晶科技,0,
